<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;1;28/04/21;173600;3582.8900000;3582.8900000;3581.4800000;3581.7700000;255523660
IMOEX;1;28/04/21;173700;3581.7000000;3582.0700000;3581.4500000;3581.8400000;177502652
IMOEX;1;28/04/21;173800;3581.9900000;3582.1400000;3581.6900000;3582.0500000;115528237
IMOEX;1;28/04/21;173900;3581.5400000;3584.6000000;3581.5400000;3584.4500000;222607410
IMOEX;1;28/04/21;174000;3584.2600000;3584.2600000;3583.2000000;3583.2000000;91158488
IMOEX;1;28/04/21;174100;3583.7100000;3584.3400000;3583.2300000;3583.3200000;172103634
IMOEX;1;28/04/21;174200;3582.5700000;3582.8600000;3581.4100000;3581.6400000;371302814
IMOEX;1;28/04/21;174300;3581.7600000;3581.9800000;3581.0400000;3581.0400000;162554374
IMOEX;1;28/04/21;174400;3581.2300000;3581.2300000;3580.5600000;3580.8500000;165662181
IMOEX;1;28/04/21;174500;3580.8300000;3581.3800000;3580.3700000;3580.3700000;221257724
IMOEX;1;28/04/21;174600;3580.1500000;3582.2500000;3580.1500000;3582.1500000;170670167
IMOEX;1;28/04/21;174700;3582.2100000;3582.2100000;3580.8600000;3581.0100000;134986684
IMOEX;1;28/04/21;174800;3580.7500000;3580.7500000;3578.8600000;3579.5300000;364496283
IMOEX;1;28/04/21;174900;3579.6100000;3581.3700000;3578.6300000;3580.6700000;194965100
IMOEX;1;28/04/21;175000;3580.7000000;3581.8000000;3580.6000000;3581.8000000;157376699
IMOEX;1;28/04/21;175100;3581.3900000;3582.1200000;3580.9800000;3581.9800000;120231243
IMOEX;1;28/04/21;175200;3582.1000000;3583.9300000;3582.1000000;3583.9300000;188742537
IMOEX;1;28/04/21;175300;3583.7700000;3583.7700000;3582.7000000;3583.4800000;138252890
IMOEX;1;28/04/21;175400;3583.4200000;3583.4800000;3582.3000000;3582.5000000;126638209
IMOEX;1;28/04/21;175500;3582.5100000;3582.5100000;3580.8600000;3580.8600000;169393235
IMOEX;1;28/04/21;175600;3580.8900000;3580.8900000;3580.1400000;3580.3800000;91945774
IMOEX;1;28/04/21;175700;3580.3900000;3580.4500000;3579.8700000;3579.8700000;134218732
IMOEX;1;28/04/21;175800;3579.9900000;3581.1900000;3579.7400000;3580.8200000;109782042
IMOEX;1;28/04/21;175900;3580.3000000;3581.4300000;3580.0900000;3581.1200000;160362900
IMOEX;1;28/04/21;180000;3581.1900000;3581.9900000;3581.1900000;3581.4900000;109344478
IMOEX;1;28/04/21;180100;3581.3000000;3581.8700000;3581.2900000;3581.8200000;199354998
