<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
KMAZ;1;29/04/21;180400;70.2000000;70.4000000;70.2000000;70.4000000;190
KMAZ;1;29/04/21;180500;70.4000000;70.4000000;70.1000000;70.1000000;580
KMAZ;1;29/04/21;180600;70.4000000;70.4000000;70.4000000;70.4000000;10
KMAZ;1;29/04/21;180700;70.4000000;70.5000000;70.2000000;70.2000000;240
KMAZ;1;29/04/21;180900;70.4000000;70.5000000;70.2000000;70.2000000;280
KMAZ;1;29/04/21;181100;70.2000000;70.2000000;70.2000000;70.2000000;150
KMAZ;1;29/04/21;181200;70.5000000;70.5000000;70.5000000;70.5000000;30
KMAZ;1;29/04/21;181300;70.5000000;70.5000000;70.5000000;70.5000000;10
KMAZ;1;29/04/21;181400;70.4000000;70.4000000;70.2000000;70.2000000;90
KMAZ;1;29/04/21;181600;70.5000000;70.6000000;70.5000000;70.5000000;400
KMAZ;1;29/04/21;181700;70.6000000;70.6000000;70.6000000;70.6000000;110
KMAZ;1;29/04/21;182000;70.5000000;70.6000000;70.5000000;70.6000000;330
KMAZ;1;29/04/21;182100;70.6000000;70.6000000;70.6000000;70.6000000;30
KMAZ;1;29/04/21;182200;70.6000000;70.7000000;70.6000000;70.7000000;6280
KMAZ;1;29/04/21;182400;70.7000000;70.8000000;70.7000000;70.8000000;570
KMAZ;1;29/04/21;182500;70.7000000;70.8000000;70.7000000;70.8000000;630
KMAZ;1;29/04/21;182600;70.8000000;70.8000000;70.8000000;70.8000000;30
KMAZ;1;29/04/21;182700;70.9000000;70.9000000;70.8000000;70.8000000;30
KMAZ;1;29/04/21;182800;70.9000000;70.9000000;70.9000000;70.9000000;10
KMAZ;1;29/04/21;182900;70.9000000;70.9000000;70.9000000;70.9000000;600
KMAZ;1;29/04/21;183000;70.9000000;70.9000000;70.9000000;70.9000000;10
KMAZ;1;29/04/21;183100;70.7000000;70.7000000;70.7000000;70.7000000;290
KMAZ;1;29/04/21;183200;70.7000000;70.7000000;70.7000000;70.7000000;20
KMAZ;1;29/04/21;183300;70.9000000;70.9000000;70.9000000;70.9000000;10
KMAZ;1;29/04/21;183400;70.7000000;70.9000000;70.7000000;70.7000000;40
KMAZ;1;29/04/21;183500;70.7000000;70.8000000;70.7000000;70.7000000;30
KMAZ;1;29/04/21;183600;70.7000000;70.8000000;70.7000000;70.8000000;100
KMAZ;1;29/04/21;183700;70.7000000;70.7000000;70.7000000;70.7000000;10
KMAZ;1;29/04/21;183800;70.7000000;70.7000000;70.7000000;70.7000000;10
KMAZ;1;29/04/21;183900;70.7000000;70.8000000;70.7000000;70.8000000;40
KMAZ;1;29/04/21;184000;70.7000000;70.7000000;70.7000000;70.7000000;10
KMAZ;1;30/04/21;100100;70.7000000;71.5000000;70.7000000;71.5000000;140
KMAZ;1;30/04/21;100200;71.1000000;71.4000000;71.1000000;71.4000000;330
KMAZ;1;30/04/21;100300;71.3000000;71.3000000;71.1000000;71.2000000;520
KMAZ;1;30/04/21;100400;71.1000000;71.1000000;70.8000000;70.8000000;960
KMAZ;1;30/04/21;100500;70.7000000;71.1000000;70.7000000;71.1000000;760
KMAZ;1;30/04/21;100600;71.1000000;71.1000000;70.7000000;70.7000000;70
KMAZ;1;30/04/21;100700;71.1000000;71.1000000;70.7000000;71.1000000;120
KMAZ;1;30/04/21;100800;70.7000000;71.1000000;70.7000000;71.1000000;370
KMAZ;1;30/04/21;100900;71.1000000;71.1000000;70.8000000;71.1000000;250
