<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
NLMK;1;27/04/21;141900;270.4200000
NLMK;1;27/04/21;142000;269.9800000
NLMK;1;27/04/21;142100;270.2600000
NLMK;1;27/04/21;142200;270.1200000
NLMK;1;27/04/21;142300;270.1800000
NLMK;1;27/04/21;142400;270.1200000
NLMK;1;27/04/21;142500;270.0200000
NLMK;1;27/04/21;142600;270.4000000
NLMK;1;27/04/21;142700;270.4600000
NLMK;1;27/04/21;142800;270.6200000
NLMK;1;27/04/21;142900;270.7600000
NLMK;1;27/04/21;143000;270.7600000
NLMK;1;27/04/21;143100;270.8000000
NLMK;1;27/04/21;143200;270.7600000
NLMK;1;27/04/21;143300;270.8000000
NLMK;1;27/04/21;143400;270.8200000
NLMK;1;27/04/21;143500;270.9000000
NLMK;1;27/04/21;143600;270.8600000
NLMK;1;27/04/21;143700;270.7400000
NLMK;1;27/04/21;143800;270.8200000
NLMK;1;27/04/21;143900;270.9600000
NLMK;1;27/04/21;144000;270.9600000
NLMK;1;27/04/21;144100;270.8000000
NLMK;1;27/04/21;144200;270.8000000
NLMK;1;27/04/21;144300;270.7400000
NLMK;1;27/04/21;144400;270.8000000
NLMK;1;27/04/21;144500;270.4800000
NLMK;1;27/04/21;144600;270.3800000
NLMK;1;27/04/21;144700;270.4600000
NLMK;1;27/04/21;144800;270.5800000
NLMK;1;27/04/21;144900;270.2400000
NLMK;1;27/04/21;145000;270.1400000
NLMK;1;27/04/21;145100;269.8000000
NLMK;1;27/04/21;145200;270.1800000
NLMK;1;27/04/21;145300;270.1600000
NLMK;1;27/04/21;145400;270.2600000
NLMK;1;27/04/21;145500;270.7200000
NLMK;1;27/04/21;145600;270.6600000
NLMK;1;27/04/21;145700;270.8400000
NLMK;1;27/04/21;145800;270.9400000
NLMK;1;27/04/21;145900;270.9000000
NLMK;1;27/04/21;150000;270.8400000
NLMK;1;27/04/21;150100;270.7400000
NLMK;1;27/04/21;150200;270.7000000
NLMK;1;27/04/21;150300;270.7000000
NLMK;1;27/04/21;150400;270.6800000
NLMK;1;27/04/21;150500;270.6200000
NLMK;1;27/04/21;150600;270.4800000
NLMK;1;27/04/21;150700;270.4200000
NLMK;1;27/04/21;150800;270.5000000
NLMK;1;27/04/21;150900;270.4800000
NLMK;1;27/04/21;151000;270.4600000
NLMK;1;27/04/21;151100;270.3600000
NLMK;1;27/04/21;151200;270.5600000
NLMK;1;27/04/21;151300;270.6800000
NLMK;1;27/04/21;151400;270.6800000
NLMK;1;27/04/21;151500;270.7200000
NLMK;1;27/04/21;151600;270.7600000
NLMK;1;27/04/21;151700;271.0200000
NLMK;1;27/04/21;151800;271.1800000
NLMK;1;27/04/21;151900;271.2000000
NLMK;1;27/04/21;152000;271.1600000
NLMK;1;27/04/21;152100;271.1400000
NLMK;1;27/04/21;152200;270.9000000
NLMK;1;27/04/21;152300;271.2600000
NLMK;1;27/04/21;152400;271.1200000
NLMK;1;27/04/21;152500;271.1000000
NLMK;1;27/04/21;152600;270.8000000
NLMK;1;27/04/21;152700;270.8800000
NLMK;1;27/04/21;152800;270.8600000
NLMK;1;27/04/21;152900;270.8000000
NLMK;1;27/04/21;153000;270.7200000
NLMK;1;27/04/21;153100;270.7000000
NLMK;1;27/04/21;153200;270.8800000
NLMK;1;27/04/21;153300;270.9800000
NLMK;1;27/04/21;153400;270.5600000
NLMK;1;27/04/21;153500;270.5800000
NLMK;1;27/04/21;153600;270.5200000
NLMK;1;27/04/21;153700;270.3600000
NLMK;1;27/04/21;153800;270.4600000
NLMK;1;27/04/21;153900;270.2600000
NLMK;1;27/04/21;154000;270.3600000
NLMK;1;27/04/21;154100;270.4200000
NLMK;1;27/04/21;154200;270.4200000
NLMK;1;27/04/21;154300;270.4000000
NLMK;1;27/04/21;154400;270.3400000
NLMK;1;27/04/21;154500;270.2000000
NLMK;1;27/04/21;154600;269.9600000
NLMK;1;27/04/21;154700;270.0400000
NLMK;1;27/04/21;154800;270.1000000
